link_#,course_id,course_name,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
289,CHEM 322,CHEM 322aL Organic Chemistry,,,,,"CHEM 105, CHEM 115",
290,CHEM 325,CHEM 325aL Organic Chemistry,,,,,"CHEM 105, CHEM 115",
291,CHEM 430,Thermodynamics and Kinetics,,CHEM 430,,,"CHEM 322, CHEM 325, PHYS 151, CHEM 300, MATH 226, MATH 225",
292,CHEM 432,CHEM 432 Physical Chemistry for the Life Sciences,,CHEM 430,,,"CHEM 322, CHEM 325, PHYS 151, CHEM 300, MATH 126, PHYS 135",
293,MATH 208,MATH 208 x Elementary Probability and Statistics,,,,,"MATH 118, MATH 125",
294,PHYS 135,PHYS 135ag Physics for the Life Sciences,,PHYS 125,,,"MATH 226, MATH 108, MATH 125, MATH 126",
295,BISC 325,Genetics,,,"CHEM 322, CHEM 325",,"CHEM 322, BISC 320, BISC 221, BISC 220, BISC 120, BISC 121",
296,BME 210,BME 210 Biomedical Computer Simulation Methods,,,,"MATH 245, BME 101",,
297,BME 302,BME 302 L Medical Electronics,,,,,EE 202,
298,BME 402,BME 402 Control and Communication in the Nervous System,,,,,"MATH 245, BISC 110, BME 210, BISC 220",
299,BME 403,BME 403L Physiological Systems,,,EE 202,,"BISC 220, MATH 245",
300,BME 405,BME 405 L Senior Projects : Measurements and Instrumentation,,,,,"EE 202, BME 210",
301,BME 410,BME 410 Introduction to Biomaterials and Tissue Engineering,,,,,CHEM 322,
302,BME 413,BME 413 Bioengineering Signals and Systems,,,,,PHYS 152,"khn00959, khn00979"
303,BME 423,BME 423 Statistical Methods in Biomedical Engineering,,,,,MATH 245,
304,BME 425,Basics of Biomedical Imaging,,,,,PHYS 152,
305,BME 404,Biomechanics,,,,,"MATH 245, PHYS 151, AME 201",
306,BME 430,BME 430 Principles and Applications of Systems Biology,CHE 430,,,,"MATH 245, CHE 205, BME 210, BISC 220",csr01650
307,BME 451,Fundamentals of Biomedical Microdevices,,,,,EE 202,
308,BME 452,Introduction to Biomimetic Neural Engineering,,,,,EE 202,
309,EE 202,EE 202L Linear Circuits,,,MATH 245,,PHYS 152,csr01136
310,CHE 330,Chemical Engineering Thermodynamics,,,MATH 226,,,
311,CHE 350,Introduction to Separation Processes,,,,,"CHEM 105, CHEM 115, CHE 330",
312,CHE 489,CHE 489 Biochemical Engineering,,,,,"CHE 330, BISC 320",
313,MASC 310,MASC 310 Materials Behavior and Processing,ACAD 312,,,,,
314,EE 109,EE 109L Introduction to Embedded Systems,,,"CSCI 103, EE 155",,,"udc00096, csr02308, csr01936, csr01225, csr01269, csr01141, csr00461, csr02338"
315,EE 209,EE 209 Foundations of Digital System Design,,,,,EE 109,
316,EE 338,EE 338 Physical Electronics,,,,,"PHYS 152, EE 202",csr01143
317,EE 348,EE 348 L Electronic Circuits,,,EE 338,,,
318,EE 354,EE 354L Introduction to Digital Circuits,,EE 254,,,"EE 101, EE 209",
319,EE 454,EE 454L Introduction to System-on-Chip,CSCI 454,,,,EE 354,
320,PHYS 444,Physical Biology : From Molecules to Cells,,,,,"PHYS 152, BISC 220, PHYS 162",
321,BUAD 425,BUAD 425 Data Analysis for Decision Making,,,BUAD 497,,"BUAD 304, BUAD 311, BUAD 307, BUAD 286, BUAD 306, BUAD 305, BUAD 285, BUAD 310, BUAD 302, BUAD 281","csr00011, csr00920, csr01348, csr00353, csr02505, csr00894, csr00332, csr00151, csr00758, csr00939"
322,FBE 391,FBE 391 Real Estate Finance and Investment,,FBE 365,,,"BUAD 306, BUAD 215",
323,FBE 465,FBE 465 Real Estate Analysis and Computer Modeling,,,,,"FBE 400, FBE 391",
324,FBE 466,Management of Real Estate Development : Feasibility Studies,,,,,"FBE 470, FBE 400, FBE 391",
325,FBE 470,FBE 470 Advanced Real Estate Analysis,,FBE 465,,,FBE 391,
326,FBE 489,FBE 489 Real Estate Capital Markets,,,,,"FBE 400, FBE 391",csr01863
327,FBE 491,FBE 491 Real Estate Finance Colloquium,,,,,"FBE 400, FBE 391",
328,BAEP 423,BAEP 423 Management of Small Businesses,,"BAEP 310, BAEP 451, BAEP 450, BUAD 301",,,,
329,DSO 455,DSO 455 Project Management,,IOM 455,,,,"csr00965, csr02534, csr00300, csr01498, csr01638, csr00312, csr02137, csr01620, csr00481, csr00967"
330,FBE 421,Financial Analysis and Valuation,,,,,"BUAD 306, BUAD 215","csr00953, csr00946"
331,FBE 423,Introduction to Venture Capital and Private Equity,,,,,"BUAD 306, BUAD 215",
332,FBE 435,Applied Finance in Fixed Income Securities,,,,,"BUAD 306, BUAD 215",
333,FBE 437,Entrepreneurial Finance : Financial Management for Developing Firms,,,,,"BUAD 306, BUAD 215",
334,FBE 441,Investments,,,,,"BUAD 306, BUAD 215",
335,FBE 459,Financial Derivatives,,,,,"BUAD 306, BUAD 215",
336,MOR 421,Social and Ethical Issues in Business,,,,,BUAD 304,
337,FBE 403,FBE 403 Introduction to the Legal Environment of Business,,BUAD 403,,,,csr02099
338,SLL 150,Beginning Russian II,,,,,SLL 120,
339,SLL 220,Intermediate Russian I,,,,,"SLL 120, SLL 150",
340,SLL 250,Intermediate Russian II,,,,,SLL 220,
341,SLL 310,Advanced Russian in Popular Culture,,,,,"SLL 120, SLL 220, SLL 250, SLL 150",
342,SLL 340,Intercultural Communication in Russian,,,,,"SLL 120, SLL 220, SLL 250, SLL 150",
343,GERM 102,German II,,,,,GERM 101,
344,SLL 152,Elementary Polish II,,,,,SLL 122,
345,SLL 465,SLL 465 Seminar in Russian Studies,,,,,SLL 250,
346,CHE 120,Introduction to Chemical Engineering,,,"CHEM 115, CHEM 105, MATH 125",,,
347,CHE 205,Numerical Methods in Chemical Engineering,,,,,MATH 125,
348,CHE 442,Chemical Reactor Analysis,,,,,MATH 245,
349,CHE 443,Viscous Flow,,,"CHE 350, MATH 245",,,
350,CHE 444,CHE 444a L Chemical Engineering Laboratory,,,CHE 443,,"CHE 350, CHE 330, CHE 442",
351,CHE 445,CHE 445 Heat Transfer in Chemical Engineering Processes,,AME 331,,,"MATH 245, CHE 443",
352,CHE 446,Mass Transfer in Chemical Engineering Processes,,,,,"MATH 245, CHE 443, CHE 445",
353,CHE 460,CHE 460 L Chemical Process Dynamics and Control,,,MATH 245,,CHE 120,
354,CHE 485,Computer-Aided Chemical Process Design,,,,,"CHE 443, CHE 442",
355,CHEM 431,CHEM 431 Physical Chemistry : Quantum Mechanics,,CHEM 430,,,PHYS 152,
356,CHE 405,Applications of Probability and Statistics for Chemical Engineers,,,,,MATH 245,
357,CHE 476,CHE 476 Chemical Engineering Materials,,,,,CHEM 322,
358,EE 438,EE 438L Processing for Microelectronics,,MASC 438,,,EE 338,
359,BUAD 301,BUAD 301 Technology Entrepreneurship,,"BAEP 310, BAEP 423, BAEP 451, BAEP 450",,,,"csr02002, csr02002, csr01432, csr01399"
360,BISC 300,BISC 300 L Introduction to Microbiology,,,,,"CHEM 322, BISC 320, CHEM 325",
361,CHE 486,Design of Environmentally Benign Process Plants,,,"CHE 485, CHE 480",,,
362,CE 453,CE 453 Water Quality Science and Engineering,,,"CE 309, ENE 410",,"CHEM 105, CHEM 115",
363,CE 463,CE 463L Water Chemistry and Analysis,,,,,"CE 453, CHEM 105, CHEM 115",
364,PTE 463,PTE 463L Introduction to Transport Processes in Porous Media,,,,,"PHYS 151, MATH 245, CHEM 105, CHEM 115",
365,ENE 428,ENE 428 Air Pollution Fundamentals,,,,,"ENE 200, MATH 245, PHYS 151, CHEM 115, CHE 350, CHEM 105",
366,ENE 429,Air Pollution Control,,,,,"CE 309, ENE 410, ENE 428",
367,CHEM 453,Advanced Inorganic Chemistry,,,,,"CHEM 322, CHEM 105, CHEM 115, CHEM 325",
368,CHE 487,Nanotechnology and Nanoscale Engineering through Chemical Processes,,,,,"CHEM 105, CHEM 115, MASC 110",
369,CHE 491,CHE 491 Nanotechnology Research for Undergraduates,,,,,CHE 391,
370,MASC 350,"MASC 350 L Nanostructured Materials : Design , Synthesis , and Processing",,,,,"PHYS 152, CHEM 105, CHEM 115, MASC 110",
371,PTE 461,PTE 461 Formation Evaluation,,,PTE 463,,,
372,PTE 464,PTE 464L Petroleum Reservoir Engineering,,,,,PTE 463,
373,PTE 465,PTE 465L Drilling Technology and Subsurface Methods,,,,,PTE 464,
374,CHE 472,CHE 472 Polymer Science and Engineering,,,,CHEM 322,,
375,CHE 474,CHE 474 L Polymer Science and Engineering Laboratory,,,,CHE 472,,
376,CHE 475,CHE 475 Physical Properties of Polymers,MASC 475,,,"CHEM 430, CHE 472",,
377,CHE 450,CHE 450 Sustainable Energy,,,,,"PHYS 152, PHYS 151, CHE 330",
378,CHE 301,CHE 301g Introduction to Engineering Biology,,,,,"CHEM 105, CHEM 115, MASC 110","csr01650, csr01634"
379,CHE 488,CHE 488 Molecular and Cellular Bioengineering,,,,,BISC 320,
380,EE 513,Solid State Energy Devices,,,,EE 338,,
381,CHEM 332,CHEM 332L Physical Chemical Measurements,,,"CHEM 430, CHEM 431",,,
382,CHEM 423,CHEM 423 L Advanced Laboratory Techniques in Organic and Inorganic Chemistry,,,,,"CHEM 322, CHEM 300, CHEM 325",
383,CHEM 463,CHEM 463L Chemical Nanotechnology Laboratory,,,,,"CHEM 322, CHEM 325",
384,CHEM 465,CHEM 465L Chemical Instrumentation,,,,,"CHEM 431, CHEM 430, CHEM 332",
385,CHEM 467,CHEM 467L Advanced Chemical Biology Laboratory,,,CHEM 300,,"CHEM 322, CHEM 325",
386,CHEM 426,Advanced Organic Chemistry,,,,,"CHEM 322, CHEM 325",
387,CHEM 455,CHEM 455 Chemical Nanotechnology,,,,,"CHEM 322, CHEM 325",
388,CHEM 488,Introduction to Theory and Practice of X-ray Crystallography,,,,,"CHEM 322, CHEM 300, CHEM 325",
389,CHEM 588,X-ray Crystallography,,,,,CHEM 588,
390,CHEM 292,CHEM 292 Supervised Research,,,"CHEM 105, CHEM 115",,,
391,CHEM 294,CHEM 294 Undergraduate Research Seminar,,,"CHEM 105, CHEM 115",,,
392,CHEM 494,CHEM 494x Advanced Research Experience,,,,,CHEM 490,"csr00864, csr00887"
393,MPVA 301,MPVA 301 Individual Instruction,,"MPVA 201, MPVA 401",,,,
394,MUCD 441,Choral Conducting II,,,,,"MUCD 340, MUCD 343",
395,MUCO 441,MUCO 441 Choral Arranging,,,,,MUCO 233,
396,MUCO 233,Theory II,,,,,MUCO 133,
397,MUCO 338,MUCO 338 x Elementary Orchestration,,,,MUCO 233,,
398,MUHL 350,MUHL 350g Western Art Music History I,,,,MUHL 250,,
399,MUHL 351,MUHL 351 Western Art Music History II,,,,"MUHL 250, MUHL 350",,
400,CTCS 473,CTCS 473 Film and Media Theory,,,,,CTCS 190,
401,CTPR 290,Cinematic Communication,,,,CTPR 285,,
402,CTCS 495,CTCS 495 Honors Seminar,,,CTCS 473,,,
403,CTPR 310,Intermediate Production,,,,,"CTPR 294, CTPR 295",
404,CTPR 450,CTPR 450 The Production and Post-Production Assistant,,,,,CTPR 310,
405,CTWR 414,CTWR 414 The Screenplay,,,,,"CTWR 413, CTWR 416",
406,CTPR 421,Practicum in Editing,,,,,"CTPR 335, CTPR 310",
407,CTPR 424,Practicum in Cinematography,,,,,"CTPR 327, CTPR 310",
408,CTPR 438,Practicum in Producing,,,,,"CTPR 425, CTPR 310",
409,CTPR 440,CTPR 440 Practicum in Sound,,,,,"CTPR 340, CTPR 310",
410,CTPR 465,Practicum in Production Design,,,,,"CTPR 456, CTPR 310",
411,CTPR 478,Practicum in Directing,,,,,CTPR 310,
412,CTPR 480,CTPR 480 Advanced Production Workshop,,,,,"CTPR 478, CTPR 450",
413,CTPR 484,CTPR 484 Advanced Multi-Camera Television Workshop,,,,CTPR 371,,
414,CTPR 486,Single Camera Television Dramatic Series,,,,,"CTPR 479, CTPR 450, CTPR 507, CTPR 504, CTPR 376",
415,CTPR 466,The Art of the Pitch,,,,,CTPR 310,
416,CTIN 463,Anatomy of a Game,,,,CTIN 488,,"csr00868, csr02233"
417,CTIN 482,CTIN 482 Designing Social Games,,CNTV 482,,,,"csr01995, csr01995"
418,CTIN 483,CTIN 483 Introduction to Game Development,,,,,"ITP 165, CTIN 101, CTIN 290","csr00868, csr02233, csr01990, csr01990, csr01963, csr01963, csr00872, csr02237, csr01689, csr02210"
419,IML 400,Creative Coding for the Web,,,,,IML 300,
420,CE 207,CE 207L Introduction to Design of Structural Systems,,,"CE 225, CE 106",,CE 205,
421,CE 334,CE 334L Mechanical Behavior of Materials,,,,,"CHEM 105, PHYS 152, CE 225, CHEM 115, AME 204",
422,CE 402,Computer Methods in Engineering,,,,,"MATH 245, CE 108",
423,CE 408,CE 408 Risk Analysis in Civil Engineering,,,,,"MATH 226, CE 225, MATH 229",
424,CE 451,Water Resources Engineering,,,,,"CE 309, ENE 410",
425,CE 456,Design of Steel Structures,,,CE 358,,"CE 225, CE 207",
426,CE 467,CE 467L Geotechnical Engineering,,CE 464,,,CE 225,
427,CE 471,CE 471 Principles of Transportation Engineering,,,,,"MATH 226, MATH 227, MATH 229",
428,CE 480,Structural Systems Design,,,,,"CE 478, CE 482, CE 457, CE 358, CE 456, CE 473, CE 467",
429,CE 465,CE 465 Water Supply and Sewerage System Design,,,,,CE 453,
430,CE 457,Reinforced Concrete Design,,,CE 358,,"CE 225, CE 207",
431,ARCH 205,ARCH 205a L Building Science I,,,,,CE 106,"csr00101, csr00055, csr02584"
432,ARCH 305,ARCH 305a L Building Science II,,,,,ARCH 205,"csr00101, csr00055, csr02584"
433,ARCH 405,ARCH 405a L Building Science III,,,,,ARCH 305,csr00101
434,CE 210,CE 210L Introduction to Environmental Engineering Microbiology,,,,"CHEM 115, CHEM 105, CE 110, CE 106",,
435,CE 485,Wastewater Treatment Design,,,,,"CE 451, CE 473, CE 463",
436,ENE 200,ENE 200 Environmental Engineering Principles,,,,,"MATH 226, PHYS 152, CHEM 105, CHEM 115, MATH 229",
437,ENE 426,ENE 426 Particulate Air Pollutants : Properties/Behavior/Measurement,,ENE 526,,,"ENE 200, ENE 400",
438,CE 459,Introduction to Structural Dynamics,,,CE 458,,,
439,CE 478,CE 478 Timber and Masonry Design,,,,,"CE 225, CE 207",
440,CE 482,CE 482 Foundation Design,,,,,CE 467,
441,COLT 101,COLT 101gp Masterpieces and Masterminds : Literature and Thought,,COLT 150,,,,
442,GR 150,Greek II,,,,,GR 120,"khn01146, khn01166, khn01176, khn01186"
443,GR 220,Greek III,,,,,GR 150,"khn01146, khn01166, khn01176, khn01186"
444,LAT 150,Latin II,,,,,LAT 120,
445,LAT 222,Latin III,,,,,LAT 150,
446,PSYC 274,PSYC 274Lg Statistics,,,,PSYC 100,,udc00121
447,PSYC 301,PSYC 301 L Cognitive Processes,,,,,PSYC 100,
448,LING 301,LING 301 Introduction to Phonetics and Phonology,,LING 401,,,LING 210,
449,LING 302,LING 302 Introduction to Syntax and Semantics,,LING 402,,,LING 210,
450,PHIL 122,PHIL 122ag Reasoning and Argument,,PHIL 250,,,,
451,PSYC 304,PSYC 304 L Sensation and Perception,,,,,PSYC 100,
452,PSYC 336,PSYC 336 L Developmental Psychology,,,,,PSYC 100,
453,CSCI 360,CSCI 360 Introduction to Artificial Intelligence,,CSCI 460,,,"CSCI 104, CSCI 170","udc00102, udc00116, udc00138, udc00218, udc00012, udc00216"
454,LING 405,LING 405 Child Language Acquisition,,LING 395,,,,
455,LING 406,LING 406 Psycholinguistics,,,,,"LING 210, PSYC 100",
456,LING 407,LING 407 Atypical Language,,,,,"LING 210, PSYC 100",
457,PSYC 305,Learning and Memory,,,,,PSYC 100,
458,PSYC 320,PSYC 320 Principles of Psychobiology,,,,,PSYC 100,
459,PSYC 360,Abnormal Psychology,,,,,PSYC 100,
460,PSYC 420,Animal Behavior,,,,,PSYC 100,
461,PSYC 422,Human Judgment and Decision Making,,,,,PSYC 314,"csr00894, csr00353, csr02505, csr00332"
462,PSYC 433,PSYC 433 Children's Learning and Cognitive Development,,,,,PSYC 336,
463,PSYC 450,PSYC 450 Neural Network Models of Social and Cognitive Processes,,,,,PSYC 100,
464,PSYC 454,Social Cognition,,,,,"PSYC 100, PSYC 355",csr01860
465,BISC 421,BISC 421 Neurobiology,NEUR 421,,,,"BISC 221, BISC 220",
466,PSYC 314,PSYC 314 L Research Methods,,,,,"PSYC 274, PSYC 100","csr01736, csr00848, csr01567, csr00851, csr01570"
467,PSYC 326,Behavioral Neuroscience,,,,,PSYC 100,
468,PSYC 424,PSYC 424 Neuropsychology,NEUR 424,,,,,
469,PSYC 425,PSYC 425 Functional Imaging of the Human Brain,,,,,"PSYC 274, PSYC 100",
470,PSYC 440,PSYC 440 Introduction to Cognitive Neuroscience,,,,,PSYC 100,
471,COMM 313,COMM 313 Communication and Mass Media,,COMM 203,,,,
472,COMM 311,COMM 311 Rhetoric and the Public Sphere,,COMM 201,,,,
473,COMM 209,COMM 209 Communication and Media Economics,,"COMM 208, COMM 207",,,,
474,COMM 309,COMM 309 Communication and Technology,,COMM 202,,,,
475,COLT 251,COLT 251g Modern Literature and Thought of the West Since 1800,,COLT 151,,,,
476,COLT 351,COLT 351 Modern and Contemporary Drama,,COLT 305,,,,
477,COLT 448,COLT 448 Multilingual Encounters,MDES 449,,,,,
478,COLT 375,COLT 375 Latin American Cultural and Literary Theory,SPAN 375,,,,,
479,MPKS 301,MPKS 301 Individual Instruction,,"MPKS 201, MPKS 401",,,,
480,MUCO 135,Counterpoint I,,,MUCO 137,,,
481,MUCO 235,Counterpoint II,,,,,MUCO 137,
482,MUCO 236,Orchestration I,,,,,MUCO 137,
483,MUCO 237,MUCO 237a Composition II,,,,,MUCO 137,
484,MUCO 336,Orchestration II,,,,,MUCO 236,
485,MUCO 337,MUCO 337a Composition III,,,,,MUCO 237,
486,MUCO 434,Analytical Techniques,,,,,"MUCO 233, MUCO 232",
487,MUCO 435,Counterpoint III,,,,,MUCO 235,
488,MUCO 437,MUCO 437a Composition IV,,,,,MUCO 337,
489,MTEC 474,MTEC 474a Electronic Synthesizer Techniques,,MUEA 474,,,,
490,MTEC 490,MTEC 490x Directed Research,,MUEA 490,,,,csr01115
491,MPKS 350,Keyboard Instruction II,,,,,MPKS 250,
492,CSCI 104,CSCI 104 L Data Structures and Object Oriented Design,,,CSCI 170,,CSCI 103,"csr00547, csr00535, csr01160, csr01186, csr00090, csr01262, csr00580, csr00049, csr00158, csr00600"
493,CSCI 170,CSCI 170 Discrete Methods in Computer Science,,CSCI 271,,,"EE 109, CSCI 103, CSCI 109","csr01547, csr01597, csr01548"
494,CSCI 201,CSCI 201 L Principles of Software Development,,,,,CSCI 104,"csr00565, csr01223, csr01606, csr01969, csr01969, csr02057, csr02410, csr00588, csr01939"
495,LING 303,Logic and Meaning in Natural Language,,,,,LING 210,csr00392
496,CSCI 310,CSCI 310 Software Engineering,,CSCI 377,,,CSCI 201,"udc00136, csr01998, csr01998, udc00137, csr02430, csr00549, csr02136, csr01633, csr00543, csr02033"
497,CSCI 445,CSCI 445L Introduction to Robotics,,,,,CSCI 103,"csr02289, csr02265, csr02267, csr00333, csr02270, csr02268, csr00328, csr02269, udc00138, udc00009"
498,BME 575,BME 575L Computational Neuroengineering,,,,,BME 502,
499,CSCI 561,CSCI 561 Foundations of Artificial Intelligence,EE 561,,,,,"udc00102, udc00138, udc00218, udc00116, udc00012, udc00216"
500,CSCI 574,CSCI 574 Computer Vision,,,,,CSCI 455,"csr00391, udc00139"
501,CSCI 662,CSCI 662 Advanced Natural Language Processing,,CSCI 562,,,,csr00392
502,EE 559,EE 559 Mathematical Pattern Recognition,,,"EE 503, EE 441",,,
503,NSCI 524,NSCI 524 Advanced Overview of Neurosciences,PHBI 524,NEUR 524,,,BISC 421,
504,NSCI 531,NSCI 531 Molecular and Cellular Neurobiology,,NEUR 531,,,,
505,PSYC 540,PSYC 540 Cognitive Neuroscience,NSCI 533,,,,,
506,PSYC 551,Decision Neuroscience,,,,PSYC 547,,
507,BISC 424,BISC 424 Brain Architecture,NEUR 424,,,,BISC 421,
508,BISC 462,BISC 462 Seminar in Neurobiology,NEUR 462,,,,,
509,PSYC 438,Behavioral Genetics,,,,,PSYC 274,
510,EE 364,Introduction to Probability and Statistics for Electrical Engineering and Computer Science,,,,,"MATH 245, MATH 225","khn01275, khn01285, khn01295, khn01305, khn01315, khn01325, khn01265"
511,CSCI 270,CSCI 270 Introduction to Algorithms and Theory of Computing,,CSCI 303,,,"CSCI 104, CSCI 170",csr00168
512,CSCI 350,CSCI 350 Introduction to Operating Systems,,CSCI 402,,,"CSCI 356, EE 354, CSCI 201","udc00123, csr02338, csr01455"
513,CSCI 353,CSCI 353 Introduction to Internetworking,,EE 450,,,CSCI 201,
514,EE 457,EE 457 Computer Systems Organization,CSCI 457,,,,EE 354,csr01185
515,EE 451,EE 451 Parallel and Distributed Computation,CSCI 452,,,,"EE 355, CSCI 201",csr00550
516,EE 477,EE 477L MOS VLSI Circuit Design,,,,,"EE 354, EE 338",
517,CSCI 401,CSCI 401 Capstone : Design and Construction of Large Software Systems,,CSCI 477,,,"CSCI 270, CSCI 310",udc00137
518,CSCI 404,CSCI 404 Capstone : Creating Your High-Tech Startup,,,,,"CSCI 270, CSCI 201, ITP 466",
519,EE 459,EE 459Lx Embedded Systems Design Laboratory,CSCI 452,,,,EE 354,
520,CSCI 420,CSCI 420 Computer Graphics,,,,,"EE 141, CSCI 104, MATH 225, MATH 127, MATH 126, MATH 129","csr00213, udc00155"
521,CSCI 459,Computer Systems and Applications Modeling Fundamentals,,,,,"MATH 225, CSCI 201",
522,CSCI 476,Cryptography : Secure Communication and Computation,,,,,CSCI 270,
523,CSCI 485,CSCI 485 File and Database Management,,,,,CSCI 201,
524,CSCI 356,CSCI 356 Introduction to Computer Systems,,EE 352,,,CSCI 104,"csr01185, csr02001, csr02001, csr02114, udc00139"
525,CSCI 423,Native Console Multiplayer Game Development,,,,,"ITP 485, ITP 380, CSCI 522",
526,CSCI 430,Introduction to Computer and Network Security,,,,,CSCI 201,"udc00097, csr01011, csr01016, csr02126"
527,EE 450,EE 450 Introduction to Computer Networks,CSCI 450,CSCI 353,,,,
528,ITP 368,ITP 368 Programming Graphical User Interfaces,CSCI 368,,,,"CSCI 104, ITP 365",csr00876
529,ITP 380,ITP 380 Video Game Programming,,,,,"CSCI 104, ITP 365","csr00554, csr01380, csr01258, csr00002, csr00268, csr01689, csr02210, csr00868, csr02233"
530,ITP 435,ITP 435 Professional C++,CSCI 435,,,,"CSCI 104, ITP 365",
531,ITP 439,ITP 439 Compiler Development,CSCI 439,,,,ITP 435,
532,ITP 485,ITP 485 Programming Game Engines,,,,,ITP 380,csr00554
533,EE 141,EE 141L Applied Linear Algebra for Engineering,,EE 241,,,,"udc00142, udc00150"
534,CTIN 190,CTIN 190 Introduction to Interactive Entertainment,,CTIN 309,,,,
535,CTIN 484,CTIN 484 L Intermediate Game Development,,,,,"CTIN 488, CTIN 483, CTIN 541","csr00872, csr02237, csr01963, csr01963, csr01297, csr02036, csr00868, csr02233, csr00871, csr02236"
536,CTIN 488,CTIN 488 Game Design Workshop,,,,CTIN 190,,"csr01689, csr02210, csr01963, csr01963, csr00868, csr02233, csr00869, csr02234, csr00872, csr02237"
537,CTIN 489,Intermediate Game Design Workshop,,,,,"CTIN 488, CTIN 483, CTIN 541","csr00869, csr02234, csr00872, csr02237, csr01963, csr01963, csr01689, csr02210, csr01297, csr02036"
538,BAEP 452,Feasibility Analysis,,,,,"BAEP 310, BAEP 423, BAEP 451, BAEP 450, BUAD 301",
539,BAEP 453,BAEP 453 Venture Management,,,,,"BAEP 310, BAEP 423, BAEP 451, BAEP 450, BUAD 301",
540,DSO 431,DSO 431 Foundations of Digital Business Innovation,,IOM 431,,,,
541,DSO 433,DSO 433 Business Process Design,,IOM 433,,,,udc00136
542,DSO 443,DSO 443 The Business of Digital Entertainment,,IOM 443,,,,"csr01045, csr02445, csr01132, csr02026"
