"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"AMST 380","American Popular Culture","(Enroll in HIST 380 )","","","","","",""
"COMM 302","Persuasion","Theories and research in social influence ; strategies and tactics of persuasive communications in such settings as politics , public relations , advertising , business .","","","","","",""
"CSCI 110","Introduction to Digital Logic","(Enroll in EE 101 )","","","","","","csr00654/0.439"
"PSYC 451","PSYC 451 Formation and Change of Attitudes","IrregularEffects of socialization , personal influence , propaganda and social structure on private attitudes and public opinion . ","PSYC 100;PSYC 355","","","","",""
"PSYC 456","PSYC 456 Conservation Psychology","Examination of theories , research , interventions regarding psychology of environmental sustainability including cognition , emotion , behavior , attitudes , persuasion , values , social identity , consumerism , and science of happiness .","","PSYC 100","","","",""
"SOCI 155","SOCI 155gm Immigrant America","Examination of the immigrant experience in the United States . Comparative analysis of social context of migration , formation of immigrant communities , and social integration of immigrants .","","","","","",""
"SOCI 210","SOCI 210g Science , Technology , and Social Conflict","Science and technology change society and how we understand ourselves . In turn , social struggles influence science . We will explore the interplay between these forces .","","","","","",""
"DENT 412","DENT 412 Fundamentals of Craniofacial and Dental Technology","Biomedical engineering and technology applied to oral health professions . Dental biomaterials , CAD-CAM , digital dental technology and tissue engineering applications to craniofacial diseases , disorders , and enhancements .","","","","","BME 412",""
"DHIS 310","Basic Tissues and Histology and Embryology","Histology of basic tissues , oral histology , orofacial embryology , orofacial clefts and functional correlates .","","","","","",""
"DENT 221","Introduction to Dentistry","History and current role of dental science in the health services field ; review of research ; overview of dental procedures with laboratory experience and practice observation .","","","","","",""
"ENGR 305","Engineering Biology Matters","Engineering students will learn biological phenomena in the context of engineering principles and explore biological mechanisms and processes as analogies for designing engineered systems .","","CHEM 105;MASC 110","","","",""
"CLAS 375","Alexander the Great : Leadership , Personality and World Conquest","Ancient sources on Alexander’s life , personality and conquests . Modern evaluations of his achievements as a prototype for - autocracy and empire-building from antiquity to today .","","","","","",""
